scorer,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth
bodyparts,spine1,spine1,spine2,spine2,spine3,spine3,tail1,tail1,tail2,tail2,tail3,tail3
coords,x,y,x,y,x,y,x,y,x,y,x,y
IMG_8423.png,1321.8901379543854,1378.2585742258004,1840.2204273362258,1345.8629311394354,2241.926401607152,1592.0698185958097,2455.7376459771613,1786.443677,2708.423662050809,1682.7776192376318,2993.5053212108205,1546.7159182748987
IMG_8424.png,1814.303912867134,1592.0698185958097,2293.759430545336,1572.6324327439906,2688.986276,1844.755834669457,2974.067935359002,2039.129693187647,3213.795694198103,1896.588863607641,3408.169552716293,1779.9645484967268
IMG_8438.png,1289.4944948680204,1157.9682012385183,1827.2621701016797,1203.3221015594293,2125.302086496238,1462.4872462503497,2293.759430545336,1702.2150050894509,2578.841089705348,1650.3819761512668,2857.4436202480874,1481.9246321021687
IMG_8439.png,2060.510800323508,2855.499898964046,2390.9463598044313,2836.062513112227,2714.9027906680813,3017.4781143958708,2863.9227488653605,3237.768487383153,3097.171379087189,3218.3311015313348,3285.066108988106,3166.498073
IMG_8440.png,2235.447272989879,2389.002638520389,2598.2784755571674,2434.356538841301,2825.047977161723,2615.7721401249446,2987.0261925935483,2823.1042558776808,3213.795694198103,2836.062513112227,3427.606938568112,2810.1459986431346
IMG_8441.png,3472.9608388890238,1475.4455034848957,3822.833784221766,1540.2367896576256,4185.664986789054,1779.9645484967268,4347.643202220879,1896.588863607641,4606.808346911799,1786.443677,4788.223948195444,1669.8193620030859
IMG_8442.png,2423.3420028907967,1319.9464166703435,2850.9644916308152,1430.0916031639847,3038.859221531732,1689.256747854905,3181.4000511117383,1883.6306063730951,3440.565195802659,1831.7975774349109,3732.1259835799447,1702.2150050894509
Screenshot_1.png,133.26023748831153,285.2463625084239,114.82762877433193,286.7510652605855,103.91853382116035,294.2745790213935,96.39502006035237,302.9266198463227,84.35739804305958,296.90780883767627,77.21005997,289.3842950768683
Screenshot_2.png,157.19496496821614,179.33709391964896,115.49185685025486,171.5177611475312,81.6080815,185.41879718685163,61.62534219788813,208.8767955032049,39.036158633992386,193.2381299589694,19.922234079926852,168.91131689015862
Screenshot_3.png,173.84131138629425,260.60848651146995,155.22745182688652,259.0827603180759,142.41135180237626,266.10110080768857,132.64670416465418,272.5091508199437,125.62836367504143,263.65993889825813,119.2203136627863,253.8952913
Screenshot_4.png,272.1306766813377,226.91742816902902,325.29764718566366,196.61797186011208,398.47369261097253,205.19328968339045,434.4900274687418,257.2168845,480.79674371444514,241.20962454115968,521.90557,228.22253302665337
Screenshot_5.png,271.2819821844864,232.38706674890082,336.61626843301997,216.32125865499913,393.38212369813925,249.52392871572928,419.0874166483819,275.2292217,455.5032483278925,263.4476290637774,486.5638106,249.52392871572928
image 1.png,147.7584307107838,232.87429342484887,130.16793713374238,233.36291824643342,116.81219201043318,241.1809153917852,111.11156909194754,248.18453783449615,101.33907266025787,242.1581650349542,94.82407503913142,235.15454259224333
